task_id,paper_id,paper_file,task_index,task_description,task_tags,dataset_ids
task_9126e9e26415,paper_7100e5964f9d,11_DPF.pdf,1,"Predicting key physical and electronic properties of crystalline materials—including formation energy, band gap (both OPT and MBJ variants), total energy, energy above hull (Ehull), bulk modulus, and shear modulus—using deep learning models trained on limited labeled data by first pre-training on large-scale unlabeled crystal structures via denoising reconstruction tasks.",crystal property prediction; pre-training; denoising reconstruction,dataset_39bdea8c48d7; dataset_3d1fc9ebc1ce; dataset_d55b16e3041b
task_502a51c697a5,paper_9e212a4383a8,12_PDDFormer.pdf,1,"Predicting multiple physical and electronic properties of crystalline materials—including formation energy, band gap (both OPT and MBJ), total energy, energy above hull (Ehull), bulk modulus, and shear modulus—using machine learning models that operate on crystal structure representations robust to atomic position perturbations and measurement noise.",property prediction; crystal structure representation; robust modeling,dataset_d55b16e3041b; dataset_19d1b1004506
task_f54c6e9beff9,paper_f11b018703ad,13_CrysCo.pdf,1,"Predicting multiple inorganic materials properties—including energy-related properties (formation energy, energy above convex hull, band gap) and data-scarce mechanical properties (bulk modulus, shear modulus)—using a hybrid graph-transformer model that explicitly incorporates four-body atomic interactions to improve accuracy, generalization, and interpretability, especially under limited data conditions.",property prediction; mechanical property prediction; thermodynamic stability prediction,dataset_d55b16e3041b; dataset_487cfa495675
task_702953135e8f,paper_471a9187e021,14_Cross_Scale_Covariance.pdf,1,"Predicting plastic flow strength of face-centered cubic (FCC) metals from small-scale quantum-mechanically computable indicator properties, using statistical cross-scale covariance to establish regression models that quantify prediction uncertainty and provide error bounds for first-principles (DFT)-based strength estimates.",property prediction; cross-scale modeling; uncertainty quantification,dataset_f652501a560b; dataset_c666648c615a
task_66e2dba11ca7,paper_92747bbddb26,15_Extrapolative_Episodic_Training.pdf,1,"Predicting physical properties of materials in extrapolative regimes—i.e., for material classes or compositions lying outside the distribution of training data—by learning a generalizable mapping y = f(x, S) that conditions predictions on a support set S of previously seen examples, enabling rapid adaptation to unseen domains with minimal target-domain data.",property prediction; extrapolation; meta-learning,dataset_44aa2507e9ca; dataset_1b9ea456752c
task_49a79df78a99,paper_cd925085a1df,16_OOD_Generalization_Materials.pdf,1,"Probing and characterizing out-of-distribution (OOD) generalization capabilities of machine learning models for materials property prediction—specifically, identifying which OOD tasks (defined by unseen chemistry or structural symmetries) genuinely challenge models versus those that merely reflect interpolation within the representational training domain, and evaluating how model performance scales with training set size and training time on these tasks.",OOD generalization; distributional robustness; materials property prediction; scaling law analysis; domain identification,dataset_d55b16e3041b; dataset_3d1fc9ebc1ce; dataset_f6b0e6dabd69
task_e097cf9a59e5,paper_0accd46e95fd,17_Known_Unknowns_OOD.pdf,1,"Predicting out-of-distribution (OOD) property values for solid-state materials and molecules — specifically, extrapolating zero-shot to higher property value ranges not present in the training data — using only chemical composition (for solids) or molecular graph-derived descriptors (for molecules), to enable high-precision virtual screening of extreme-value candidates.",property prediction; out-of-distribution extrapolation; virtual screening,dataset_bad7a184ddcb; dataset_3ee88ee61ae1; dataset_d55b16e3041b; dataset_c9e7ecfca1a5
task_241faca80cb0,paper_068c396e3b41,19_DTNet_Dielectric_Tensor.pdf,1,"Predicting the full 3×3 dielectric tensor—including electronic (ε∞), ionic (ε⁰), and total (ε) components—for inorganic crystalline materials, while preserving O(3) rotational equivariance to ensure physically consistent predictions under arbitrary 3D rotations of the input crystal structure.",dielectric tensor prediction; equivariant modeling; materials property prediction,dataset_fed40cdb3663; dataset_f5fc3794aeae
task_78314418eccc,paper_e25217f4266d,20_GMTNet.pdf,1,"Predicting crystal tensor properties—including dielectric tensors (order-2), piezoelectric tensors (order-3), and elastic tensors (order-4)—in matrix form while ensuring predictions are equivariant under O(3) transformations (rotations/reflections) and invariant under the crystal’s space group symmetries, so that predicted tensors respect zero-element patterns, mutual element dependencies, and physical transformation rules dictated by intrinsic crystal symmetry.",tensor prediction; crystal symmetry enforcement; O(3) equivariance,dataset_19d1b1004506
task_b2fdc1e458d6,paper_7eb9d3cfd258,21_ComFormer.pdf,1,"Predicting physical and chemical properties of crystalline materials from their atomic structure, specifically by learning geometrically complete graph representations that distinguish any minor structural differences between crystals while remaining invariant or equivariant under crystal passive symmetries (unit cell SE(3) invariance, unit cell SO(3) equivariance, and periodic invariance).",crystal property prediction; geometric completeness; graph representation learning,dataset_3d1fc9ebc1ce; dataset_d55b16e3041b; dataset_3ee88ee61ae1
task_862fa2410163,paper_1572685de644,22_Crystalformer.pdf,1,"Predicting multiple physical properties of crystalline materials—including formation energy, bandgap, bulk modulus, shear modulus, total energy, and energy above hull—from their periodic crystal structures represented as unit cells with atomic positions, species, and lattice vectors.",property prediction; crystal structure encoding; regression,dataset_d55b16e3041b; dataset_19d1b1004506
task_1f1a85917ec8,paper_0010b7688bb5,23_CrysDiff.pdf,1,"Predicting crystal properties (e.g., formation energy, bandgap, bulk modulus) from 3D crystal structures represented as atom types, fractional atomic coordinates, and lattice vectors — specifically by leveraging self-supervised pre-training on unlabeled crystal structures to improve data efficiency and accuracy in downstream regression tasks with sparse labeled data.",crystal property prediction; 3D structure-based regression; self-supervised pre-training,dataset_19d1b1004506; dataset_d55b16e3041b; dataset_f6b0e6dabd69; dataset_f6b0e6dabd69
task_25b6baf65d50,paper_a9ca0fbfd8f7,24_Structure_Aware_Transfer_Learning.pdf,1,"Predicting diverse materials properties (e.g., formation energy, bandgap, dielectric constant, piezoelectric tensor, exfoliation energy) from crystal or molecular structure inputs, especially when target datasets are small (<10,000 samples), by leveraging knowledge transferred from a large source dataset via structure-aware graph neural networks.",materials property prediction; transfer learning; structure-aware modeling,dataset_d55b16e3041b; dataset_19d1b1004506; dataset_9af6a2663ebe; dataset_7bc0d43a09a6; dataset_f411da0b16e9; dataset_4cec85f7e56b; dataset_15268f4f647c; dataset_0e01c8954e53; dataset_9cdd86c92052; dataset_de06b5abdabd
task_16fde01f7b15,paper_a54c14466f4e,25_ChargE3Net.pdf,1,"Predicting the 3D electron charge density distribution of atomic systems (molecules and crystalline materials) from atomic species identities and Cartesian coordinates, to serve as an accurate initialization for self-consistent density functional theory (DFT) calculations and enable non-self-consistent property prediction.",charge density prediction; DFT initialization; electron density modeling,dataset_b4597821bf19; dataset_f281b31ea1d7; dataset_0dd86632acbe; dataset_c17327be4ec0
task_e55c8a4f2b28,paper_364d763e5978,26_MD_HIT.pdf,1,"Designing and applying a dataset redundancy control method to enable objective, realistic evaluation of machine learning models for material property prediction—specifically by preventing overestimated interpolation performance and improving out-of-distribution (OOD) generalization capability on formation energy and band gap prediction tasks.",redundancy reduction; model evaluation; OOD generalization; material property prediction,dataset_d55b16e3041b; dataset_876dcbb1c40c; dataset_25d67dd6d824; dataset_03047ecfd3fa; dataset_bb3f8a1b6b1a
task_081fca9963b9,paper_1e2428d6caf8,27_Virtual_Node_Phonon_Preprint.pdf,1,"Predicting full phonon band structures—including Γ-point phonon spectra and momentum-dependent dispersion relations—directly from atomic coordinates of crystalline materials, enabling rapid, high-accuracy phonon property estimation without ab initio dynamical matrix calculations.",phonon prediction; band structure prediction; lattice dynamics; structure-to-property mapping,dataset_bbb9b2c9c374; dataset_ec1f8697696a; dataset_cf6d81744e01
task_933637998dc2,paper_30ac315b16dd,28_JARVIS_Leaderboard.pdf,1,"Benchmarking and systematically comparing the performance of diverse materials design methods—including artificial intelligence models, electronic structure calculations, force-field approaches, quantum computation algorithms, and experimental protocols—across multiple data modalities (atomic structures, spectra, images, text) and material properties (e.g., formation energy, bandgap, bulk modulus, CO₂ adsorption), to enable reproducible, transparent, and unbiased evaluation of method accuracy, robustness, and generalizability.",benchmarking; method validation; reproducibility; performance comparison; materials design evaluation,dataset_19d1b1004506; dataset_3d1fc9ebc1ce; dataset_d55b16e3041b; dataset_1156b8b635d2; dataset_5a37f415d2cf
task_76299946d005,paper_78a37cf3530b,29_Structure_OOD_Benchmark.pdf,1,"Predicting materials properties for out-of-distribution (OOD) crystal structures that deviate significantly from the training distribution — specifically, predicting refractive index, shear modulus, and formation energy for sparse, outlier, or structurally/property-remote materials not well-represented in standard datasets. The task focuses on evaluating and benchmarking graph neural networks' ability to generalize beyond i.i.d. assumptions to realistic discovery scenarios where target materials are novel, underrepresented, or lie in low-density regions of structural or property space.",OOD prediction; materials property prediction; generalization benchmark,dataset_f5fc3794aeae; dataset_4399a5640bb0; dataset_c8ab0d98814b
task_14cc805a3a81,paper_2532122b8c09,30_Charge_Density_Recipe.pdf,1,"Predicting the three-dimensional real-space charge density of molecular systems from atomic coordinates and element types, enabling fast and accurate estimation of electronic structure properties without solving the Kohn–Sham equations iteratively.",charge density prediction; electronic structure modeling; DFT acceleration,dataset_f281b31ea1d7; dataset_ad5cbf31abd4; dataset_06c899bfb490
task_e583c77ddbb2,paper_3d03cb8978f0,31_Superconductivity_Ordered_Disordered.pdf,1,Predicting the superconducting transition temperature (Tc) of materials given their 3D crystal structures — including both ordered and disordered configurations — to enable high-Tc superconductor screening from known structural databases such as ICSD. The task supports identifying promising candidate superconductors for experimental validation by ranking structures based on predicted Tc values.,Tc prediction; superconductor screening; disordered structure modeling,dataset_a1d68951db7c; dataset_0d530002ad88; dataset_d55b16e3041b; dataset_f6b0e6dabd69; dataset_aed6baa5fc51
